[11/07/2017 17:06:21] --> GM: %~^ZeN^~% [268477825], Target: [Skill Enchanter], Action: [admin_showShop], Params: [ 12621] 
[11/07/2017 17:06:24] --> GM: %~^ZeN^~% [268477825], Target: [Skill Enchanter], Action: [admin_close_window], Params: [] 
[11/07/2017 17:24:22] --> GM: %~^ZeN^~% [268477825], Target: [Clan Manager], Action: [admin_server_restart 0], Params: [] 
[11/07/2017 17:31:56] --> GM: %~^ZeN^~% [268477825], Target: [Clan Manager], Action: [admin_admin], Params: [] 
[11/07/2017 17:31:57] --> GM: %~^ZeN^~% [268477825], Target: [Clan Manager], Action: [admin_admin4], Params: [] 
[11/07/2017 17:31:58] --> GM: %~^ZeN^~% [268477825], Target: [Clan Manager], Action: [admin_cache_htm_rebuild], Params: [] 
[11/07/2017 17:33:22] --> GM: %~^ZeN^~% [268477825], Target: [Clan Manager], Action: [admin_admin], Params: [] 
[11/07/2017 17:33:22] --> GM: %~^ZeN^~% [268477825], Target: [Clan Manager], Action: [admin_admin4], Params: [] 
[11/07/2017 17:33:24] --> GM: %~^ZeN^~% [268477825], Target: [Clan Manager], Action: [admin_cache_htm_rebuild], Params: [] 
[11/07/2017 17:34:52] --> GM: %~^ZeN^~% [268477825], Target: [Clan Manager], Action: [admin_spawn andromeda], Params: [] 
[11/07/2017 17:35:06] --> GM: %~^ZeN^~% [268477825], Target: [Andromeda], Action: [admin_delete], Params: [] 
[11/07/2017 17:35:10] --> GM: %~^ZeN^~% [268477825], Target: [no-target], Action: [admin_server_restart 0], Params: [] 
[11/07/2017 18:03:02] --> GM: %~^ZeN^~% [268477825], Target: [WareHouse], Action: [admin_spawn 13090], Params: [] 
[11/07/2017 18:07:51] --> GM: %~^ZeN^~% [268477825], Target: [no-target], Action: [admin_admin], Params: [] 
[11/07/2017 18:07:52] --> GM: %~^ZeN^~% [268477825], Target: [no-target], Action: [admin_admin4], Params: [] 
[11/07/2017 18:07:53] --> GM: %~^ZeN^~% [268477825], Target: [no-target], Action: [admin_cache_htm_rebuild], Params: [] 
[11/07/2017 18:09:10] --> GM: %~^ZeN^~% [268477825], Target: [WareHouse], Action: [admin_server_restart 0], Params: [] 
[11/07/2017 18:14:59] --> GM: %~^ZeN^~% [268477825], Target: [Gm Shop], Action: [admin_admin], Params: [] 
[11/07/2017 18:15:00] --> GM: %~^ZeN^~% [268477825], Target: [Gm Shop], Action: [admin_admin4], Params: [] 
[11/07/2017 18:15:01] --> GM: %~^ZeN^~% [268477825], Target: [Gm Shop], Action: [admin_cache_htm_rebuild], Params: [] 
[11/07/2017 18:20:11] --> GM: %~^ZeN^~% [268477825], Target: [Rb crap], Action: [admin_server_restart 0], Params: [] 
[11/07/2017 18:24:37] --> GM: %~^ZeN^~% [268477825], Target: [no-target], Action: [admin_gmspeed 4], Params: [] 
[11/07/2017 18:29:03] --> GM: %~^ZeN^~% [268477825], Target: [no-target], Action: [admin_server_restart 0], Params: [] 
[11/07/2017 18:33:27] --> GM: %~^ZeN^~% [268477825], Target: [Buffer], Action: [admin_admin], Params: [] 
[11/07/2017 18:33:28] --> GM: %~^ZeN^~% [268477825], Target: [Buffer], Action: [admin_admin4], Params: [] 
