[15/07/2017 4:01:17] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_admin], Params: [] 
[15/07/2017 4:01:19] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_kill_menu], Params: [] 
[15/07/2017 4:01:22] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_kill_menu], Params: [] 
[15/07/2017 4:01:24] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_kill_menu], Params: [] 
[15/07/2017 4:01:25] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_kill_menu], Params: [] 
[15/07/2017 4:01:26] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_kill_menu], Params: [] 
[15/07/2017 4:01:26] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_kill_menu], Params: [] 
[15/07/2017 4:01:27] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_kill_menu], Params: [] 
[15/07/2017 4:01:27] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_kill_menu], Params: [] 
[15/07/2017 4:01:28] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_kill_menu], Params: [] 
[15/07/2017 4:01:28] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_kill_menu], Params: [] 
[15/07/2017 4:01:44] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_kill_menu], Params: [] 
[15/07/2017 4:01:45] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_kill_menu], Params: [] 
[15/07/2017 4:02:04] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_kill_menu], Params: [] 
[15/07/2017 4:02:05] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_kill_menu], Params: [] 
[15/07/2017 4:02:15] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_kill], Params: [] 
[15/07/2017 4:02:20] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_kill], Params: [] 
[15/07/2017 4:02:35] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_recall_npc], Params: [] 
[15/07/2017 4:02:39] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_kill], Params: [] 
[15/07/2017 4:03:33] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_admin], Params: [] 
[15/07/2017 4:03:35] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_recall_npc], Params: [] 
[15/07/2017 4:04:13] --> GM: Nigga [268439890], Target: [Zaken], Action: [admin_kill], Params: [] 
[15/07/2017 4:05:12] --> GM: Nigga [268439890], Target: [Orfen], Action: [admin_kill], Params: [] 
[15/07/2017 4:06:28] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_admin], Params: [] 
[15/07/2017 4:06:30] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_kill_menu], Params: [] 
[15/07/2017 4:06:45] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_kill_menu], Params: [] 
[15/07/2017 4:06:47] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_kill_menu], Params: [] 
[15/07/2017 4:06:51] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_kill_menu], Params: [] 
[15/07/2017 4:06:58] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_kill_menu], Params: [] 
[15/07/2017 4:07:27] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_kill_menu], Params: [] 
[15/07/2017 4:07:29] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_recall_npc], Params: [] 
[15/07/2017 4:07:32] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_kill], Params: [] 
[15/07/2017 4:08:08] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_kill], Params: [] 
[15/07/2017 4:08:13] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_kill], Params: [] 
[15/07/2017 4:08:42] --> GM: Nigga [268439890], Target: [Baium], Action: [admin_server_restart 0], Params: [] 
[15/07/2017 4:16:14] --> GM: Nigga [268439890], Target: [Orc Leader], Action: [admin_admin], Params: [] 
[15/07/2017 4:16:16] --> GM: Nigga [268439890], Target: [Orc Leader], Action: [admin_invul], Params: [] 
[15/07/2017 4:23:29] --> GM: Nigga [268439890], Target: [Orc Shaman], Action: [admin_edit_npc], Params: [ 38611] 
[15/07/2017 4:24:31] --> GM: Nigga [268439890], Target: [Orc Soldier], Action: [admin_show_droplist], Params: [ 38619] 
[15/07/2017 4:24:43] --> GM: Nigga [268439890], Target: [Orc Soldier], Action: [admin_close_window], Params: [] 
[15/07/2017 4:25:01] --> GM: Nigga [268439890], Target: [Orc Soldier], Action: [admin_admin], Params: [] 
[15/07/2017 4:25:03] --> GM: Nigga [268439890], Target: [Orc Soldier], Action: [admin_move_to], Params: [] 
[15/07/2017 4:25:05] --> GM: Nigga [268439890], Target: [Orc Soldier], Action: [admin_help], Params: [ tele/towns.htm] 
[15/07/2017 4:25:06] --> GM: Nigga [268439890], Target: [Orc Soldier], Action: [admin_help], Params: [ tele/towns/giran.htm] 
[15/07/2017 4:25:13] --> GM: Nigga [268439890], Target: [Orc Soldier], Action: [admin_move_to], Params: [ 82698 148638 -3473] 
[15/07/2017 4:25:34] --> GM: Nigga [268439890], Target: [Augmenter], Action: [admin_edit_npc], Params: [ 70000] 
[15/07/2017 4:30:12] --> GM: Nigga [268439890], Target: [Rb crap], Action: [admin_edit_npc], Params: [ 50000] 
[15/07/2017 4:31:10] --> GM: Nigga [268439890], Target: [Gatekeeper], Action: [admin_edit_npc], Params: [ 60000] 
[15/07/2017 4:31:27] --> GM: Nigga [268439890], Target: [Gatekeeper], Action: [admin_save_npc], Params: [ 60000 pAtk 1] 
[15/07/2017 4:31:34] --> GM: Nigga [268439890], Target: [Gatekeeper], Action: [admin_save_npc], Params: [ 60000 pAtk 0] 
[15/07/2017 4:32:04] --> GM: Nigga [268439890], Target: [Gatekeeper], Action: [admin_show_droplist], Params: [ 60000] 
[15/07/2017 4:32:11] --> GM: Nigga [268439890], Target: [Gatekeeper], Action: [admin_edit_npc], Params: [ 60000] 
[15/07/2017 4:32:29] --> GM: Nigga [268439890], Target: [Gatekeeper], Action: [admin_admin], Params: [] 
[15/07/2017 4:32:36] --> GM: Nigga [268439890], Target: [Gatekeeper], Action: [admin_admin2], Params: [] 
[15/07/2017 4:32:39] --> GM: Nigga [268439890], Target: [Gatekeeper], Action: [admin_char_manage], Params: [] 
[15/07/2017 4:32:42] --> GM: Nigga [268439890], Target: [Gatekeeper], Action: [admin_admin], Params: [] 
[15/07/2017 4:32:43] --> GM: Nigga [268439890], Target: [Gatekeeper], Action: [admin_admin3], Params: [] 
[15/07/2017 4:32:51] --> GM: Nigga [268439890], Target: [Gatekeeper], Action: [admin_admin4], Params: [] 
[15/07/2017 4:33:01] --> GM: Nigga [268439890], Target: [Gatekeeper], Action: [admin_admin5], Params: [] 
[15/07/2017 4:33:11] --> GM: Nigga [268439890], Target: [Gatekeeper], Action: [admin_admin], Params: [] 
[15/07/2017 5:07:20] --> GM: Nigga [268439890], Target: [Augment-Shop], Action: [admin_edit_npc], Params: [ 50018] 
[15/07/2017 5:07:58] --> GM: Nigga [268439890], Target: [Augment-Shop], Action: [admin_save_npc], Params: [ 50018 serverSideName 1] 
[15/07/2017 5:08:01] --> GM: Nigga [268439890], Target: [Augment-Shop], Action: [admin_save_npc], Params: [ 50018 serverSideName 0] 
[16/07/2017 17:24:16] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_admin], Params: [] 
[16/07/2017 17:24:19] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_invis_menu], Params: [] 
[16/07/2017 17:30:56] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_admin], Params: [] 
[16/07/2017 17:31:03] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_invis_menu], Params: [] 
[16/07/2017 17:31:05] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_admin], Params: [] 
[16/07/2017 17:31:06] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_invul], Params: [] 
[16/07/2017 17:34:03] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_admin], Params: [] 
[16/07/2017 17:34:07] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_admin4], Params: [] 
[16/07/2017 17:34:28] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_admin4], Params: [] 
[16/07/2017 17:34:29] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_admin5], Params: [] 
[16/07/2017 17:34:33] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_admin3], Params: [] 
